ciudad,codigo_dominio,anio,meses_incluidos,bloque_indicador,nombre_indicador,valor,error_estandar,ic95_inf,ic95_sup,deff,n_muestral,cv_pct,etiqueta_confiabilidad,fuente,observacion
Armenia,63,2023,Ene-Dic (12 meses),servicios_publicos,Hogares sin alcantarillado,0.83,0.1121,0.6178,1.0515,1.3133,8609,13.4905,ACEPTABLE,"GEIH 2023 (DANE, catalogo ANDA 782)",
Armenia,63,2023,Ene-Dic (12 meses),servicios_publicos,Hogares sin energia electrica,0.18,0.0524,0.0937,0.2899,1.2877,8609,28.4688,NO PUBLICAR,"GEIH 2023 (DANE, catalogo ANDA 782)",
Armenia,63,2023,Ene-Dic (12 meses),servicios_publicos,Hogares sin gas natural conectado a red,8.99,0.3395,8.3462,9.6763,1.2131,8609,3.7780,EXCELENTE,"GEIH 2023 (DANE, catalogo ANDA 782)",
Armenia,63,2023,Ene-Dic (12 meses),servicios_publicos,Hogares sin recoleccion de basuras,0.17,0.0515,0.0873,0.2715,1.3500,8609,30.3917,NO PUBLICAR,"GEIH 2023 (DANE, catalogo ANDA 782)",
Armenia,63,2023,Ene-Dic (12 meses),tenencia,Tenencia: En arriendo o subarriendo,48.09,0.5873,47.1375,49.2541,1.1895,4114,1.2214,EXCELENTE,"GEIH 2023 (DANE, catalogo ANDA 782)",
Armenia,63,2023,Ene-Dic (12 meses),tenencia,Tenencia: En usufructo,9.85,0.3189,9.1843,10.4469,0.9859,898,3.2373,EXCELENTE,"GEIH 2023 (DANE, catalogo ANDA 782)",
Armenia,63,2023,Ene-Dic (12 meses),tenencia,Tenencia: Otra,0.02,0.0163,0.0000,0.0494,1.3955,1,99.2933,NO PUBLICAR,"GEIH 2023 (DANE, catalogo ANDA 782)",
Armenia,63,2023,Ene-Dic (12 meses),tenencia,Tenencia: Posesion sin titulo,2.79,0.2005,2.4481,3.1689,1.2766,212,7.1896,ACEPTABLE,"GEIH 2023 (DANE, catalogo ANDA 782)",
Armenia,63,2023,Ene-Dic (12 meses),tenencia,"Tenencia: Propia, la estan pagando",6.63,0.2937,6.0329,7.1522,1.2003,511,4.4327,EXCELENTE,"GEIH 2023 (DANE, catalogo ANDA 782)",
Armenia,63,2023,Ene-Dic (12 meses),tenencia,"Tenencia: Propia, totalmente pagada",30.72,0.5336,29.7260,31.7572,1.1516,2706,1.7368,EXCELENTE,"GEIH 2023 (DANE, catalogo ANDA 782)",
Armenia,63,2023,Ene-Dic (12 meses),tenencia,Tenencia: Propiedad colectiva,1.91,0.1561,1.6117,2.2303,1.1196,167,8.1716,ACEPTABLE,"GEIH 2023 (DANE, catalogo ANDA 782)",
Armenia,63,2023,Ene-Dic (12 meses),tenencia,Tenencia: suma de categorias (control),100.0,,,,,8609,,NO_APLICA,"GEIH 2023 (DANE, catalogo ANDA 782)",Control de auditoria: debe ser 100% +/-0.1pp
Armenia,63,2023,Ene-Dic (12 meses),vivienda_propia_credito,Arriendo imputado (estimado) - P25,450000.0,,,,,4182,,ACEPTABLE,"GEIH 2023 (DANE, catalogo ANDA 782)",69 registro(s) excluidos por valor extremo
Armenia,63,2023,Ene-Dic (12 meses),vivienda_propia_credito,Arriendo imputado (estimado) - P75,800000.0,,,,,4182,,ACEPTABLE,"GEIH 2023 (DANE, catalogo ANDA 782)",69 registro(s) excluidos por valor extremo
Armenia,63,2023,Ene-Dic (12 meses),vivienda_propia_credito,Arriendo imputado (estimado) - mediana,600000.0,2886.7513,600000.0000,600000.0000,0.1789,4182,0.4811,EXCELENTE,"GEIH 2023 (DANE, catalogo ANDA 782)",69 registro(s) excluidos por valor extremo
Armenia,63,2023,Ene-Dic (12 meses),vivienda_propia_credito,Arriendo imputado (estimado) - promedio,694404.62,7054.0982,680231.6153,708248.7248,1.0682,4182,1.0158,EXCELENTE,"GEIH 2023 (DANE, catalogo ANDA 782)",69 registro(s) excluidos por valor extremo
Armenia,63,2023,Ene-Dic (12 meses),vivienda_propia_credito,Cuota hipotecaria mensual - P25,350000.0,,,,,495,,ACEPTABLE,"GEIH 2023 (DANE, catalogo ANDA 782)",2 registro(s) excluidos por valor extremo
Armenia,63,2023,Ene-Dic (12 meses),vivienda_propia_credito,Cuota hipotecaria mensual - P75,1000000.0,,,,,495,,ACEPTABLE,"GEIH 2023 (DANE, catalogo ANDA 782)",2 registro(s) excluidos por valor extremo
Armenia,63,2023,Ene-Dic (12 meses),vivienda_propia_credito,Cuota hipotecaria mensual - mediana,533411.9,29841.3255,500000.0000,600000.0000,0.8881,495,5.5944,ACEPTABLE,"GEIH 2023 (DANE, catalogo ANDA 782)",2 registro(s) excluidos por valor extremo
Armenia,63,2023,Ene-Dic (12 meses),vivienda_propia_credito,Cuota hipotecaria mensual - promedio,793736.35,34094.4581,725992.8165,861579.4085,1.1593,495,4.2954,EXCELENTE,"GEIH 2023 (DANE, catalogo ANDA 782)",2 registro(s) excluidos por valor extremo
Armenia,63,2023,Ene-Dic (12 meses),vivienda_propia_credito,Valor estimado de venta de la vivienda - P25,100000000.0,,,,,2078,,ACEPTABLE,"GEIH 2023 (DANE, catalogo ANDA 782)",16 registro(s) excluidos por valor extremo
Armenia,63,2023,Ene-Dic (12 meses),vivienda_propia_credito,Valor estimado de venta de la vivienda - P75,210000000.0,,,,,2078,,ACEPTABLE,"GEIH 2023 (DANE, catalogo ANDA 782)",16 registro(s) excluidos por valor extremo
Armenia,63,2023,Ene-Dic (12 meses),vivienda_propia_credito,Valor estimado de venta de la vivienda - mediana,150000000.0,3331654.3355,140000000.0000,150000000.0000,0.9000,2078,2.2211,EXCELENTE,"GEIH 2023 (DANE, catalogo ANDA 782)",16 registro(s) excluidos por valor extremo
Armenia,63,2023,Ene-Dic (12 meses),vivienda_propia_credito,Valor estimado de venta de la vivienda - promedio,188576388.65,3876374.8819,180676254.8367,195050199.9856,1.2183,2078,2.0556,EXCELENTE,"GEIH 2023 (DANE, catalogo ANDA 782)",16 registro(s) excluidos por valor extremo
Armenia,63,2024,Ene-Dic (12 meses),arriendo,Canon de arriendo mensual - P25,450000.0,,,,,4397,,ACEPTABLE,"GEIH 2024 (DANE, catalogo ANDA 819)",25 registro(s) excluidos por valor extremo
Armenia,63,2024,Ene-Dic (12 meses),arriendo,Canon de arriendo mensual - P75,750000.0,,,,,4397,,ACEPTABLE,"GEIH 2024 (DANE, catalogo ANDA 819)",25 registro(s) excluidos por valor extremo
Armenia,63,2024,Ene-Dic (12 meses),arriendo,Canon de arriendo mensual - mediana,600000.0,2674.2550,600000.0000,600000.0000,0.2769,4397,0.4457,EXCELENTE,"GEIH 2024 (DANE, catalogo ANDA 819)",25 registro(s) excluidos por valor extremo
