ciudad,anio,indicador,valor_pct,error_estandar,ic95_inf,ic95_sup,deff,n_muestral,cv_pct,etiqueta_confiabilidad,nota
Bogotá D.C.,2025,Componente: alcantarillado o sanitario inadecuado,0.3343,0.2866,0.0,0.896,4.231,1865,85.72,NO PUBLICAR,
Bogotá D.C.,2025,Componente: sin acueducto,0.053,0.053,0.0,0.157,0.912,1865,100.11,NO PUBLICAR,
Bogotá D.C.,2025,Componente: lugar inadecuado para cocinar,0.4137,0.1916,0.0381,0.7893,1.53,1865,46.32,NO PUBLICAR,
Bogotá D.C.,2025,Componente: sin recoleccion de basuras,0.0513,0.0513,0.0,0.1519,0.883,1865,100.12,NO PUBLICAR,
Bogotá D.C.,2025,Paredes en material inadecuado,0.0635,0.0635,0.0,0.1879,1.09,1865,99.98,NO PUBLICAR,
Bogotá D.C.,2025,"Pisos de tierra, arena o barro",0.0515,0.0515,0.0,0.1524,0.884,1865,99.95,NO PUBLICAR,
Bogotá D.C.,2025,Hogares en estrato 1 o 2,49.5699,3.7616,42.1971,56.9428,9.718,1865,7.59,ACEPTABLE,
Bogotá D.C.,2025,Hogares en estrato 3,30.7923,3.4122,24.1044,37.4801,9.38,1865,11.08,ACEPTABLE,
Bogotá D.C.,2025,"Hogares en estrato 4, 5 o 6",19.4908,2.9675,13.6745,25.3072,9.634,1865,15.23,PRECAUCION,
Bogotá D.C.,2025,Hogares sin estrato o no informa,0.1469,0.0852,0.0,0.3139,0.849,1865,57.97,NO PUBLICAR,
Medellín A.M.,2025,Deficit habitacional total,11.1069,2.2898,6.6189,15.5949,3.595,750,20.62,PRECAUCION,
Medellín A.M.,2025,Deficit habitacional cuantitativo,1.3995,0.6851,0.0568,2.7423,2.302,750,48.95,NO PUBLICAR,
Medellín A.M.,2025,Deficit habitacional cualitativo,9.7073,1.8815,6.0196,13.3951,2.734,750,19.38,PRECAUCION,
Medellín A.M.,2025,Componente: hacinamiento mitigable,4.5791,0.9905,2.6378,6.5204,1.52,750,21.63,PRECAUCION,
Medellín A.M.,2025,Componente: alcantarillado o sanitario inadecuado,3.0167,1.432,0.2099,5.8234,4.745,750,47.47,NO PUBLICAR,
Medellín A.M.,2025,Componente: sin acueducto,0.531,0.3073,0.0,1.1333,1.21,750,57.86,NO PUBLICAR,
Medellín A.M.,2025,Componente: lugar inadecuado para cocinar,3.5737,0.8445,1.9185,5.2289,1.401,750,23.63,PRECAUCION,
Medellín A.M.,2025,Componente: sin recoleccion de basuras,0.0996,0.0996,0.0,0.2948,0.675,750,100.03,NO PUBLICAR,
Medellín A.M.,2025,Paredes en material inadecuado,1.0998,0.6591,0.0,2.3915,2.703,750,59.93,NO PUBLICAR,
Medellín A.M.,2025,"Pisos de tierra, arena o barro",0.5919,0.5892,0.0,1.7467,3.994,750,99.55,NO PUBLICAR,
Medellín A.M.,2025,Hogares en estrato 1 o 2,47.3117,5.3346,36.8559,57.7674,7.728,750,11.28,ACEPTABLE,
Medellín A.M.,2025,Hogares en estrato 3,33.782,4.9803,24.0207,43.5433,7.505,750,14.74,ACEPTABLE,
Medellín A.M.,2025,"Hogares en estrato 4, 5 o 6",18.1158,3.9641,10.3462,25.8855,7.171,750,21.88,PRECAUCION,
Medellín A.M.,2025,Hogares sin estrato o no informa,0.7905,0.787,0.0,2.3329,5.345,750,99.55,NO PUBLICAR,
Cali A.M.,2025,Deficit habitacional total,10.4253,2.1352,6.2402,14.6104,3.417,781,20.48,PRECAUCION,
Cali A.M.,2025,Deficit habitacional cuantitativo,1.2716,0.5845,0.126,2.4173,1.904,781,45.97,NO PUBLICAR,
