ciudad_nombre,area_hipotesis,area_confirmada,anio,mes,registros,hogares_unicos,duplicados_hogar,suma_fex_c18,suma_fex_c18_dedup,dif_fex_dedup,pct_dpto_esperado,pct_clase1,estado_geografico,observacion
Barranquilla A.M.,08,08,2023,Diciembre,658,658,0,574468.0,574468.0,0.0,100.0,100.0,VALIDO,
Bucaramanga A.M.,68,68,2023,Diciembre,710,710,0,423548.0,423548.0,0.0,100.0,100.0,VALIDO,
Manizales A.M.,17,17,2023,Diciembre,926,926,0,181011.0,181011.0,0.0,100.0,100.0,VALIDO,
Pereira A.M.,66,66,2023,Diciembre,840,840,0,240510.0,240510.0,0.0,100.0,100.0,VALIDO,
Cúcuta A.M.,54,54,2023,Diciembre,703,703,0,313818.0,313818.0,0.0,100.0,100.0,VALIDO,
Ibagué,73,73,2023,Diciembre,538,538,0,192355.0,192355.0,0.0,100.0,100.0,VALIDO,
Pasto,52,52,2023,Diciembre,722,722,0,112067.0,112067.0,0.0,100.0,100.0,VALIDO,
Villavicencio,50,50,2023,Diciembre,670,670,0,186598.0,186598.0,0.0,100.0,100.0,VALIDO,
Montería,23,23,2023,Diciembre,469,469,0,137253.0,137253.0,0.0,100.0,100.0,VALIDO,
Cartagena,13,13,2023,Diciembre,730,730,0,301038.0,301038.0,0.0,100.0,100.0,VALIDO,
Neiva,41,41,2023,Diciembre,621,621,0,118831.0,118831.0,0.0,100.0,100.0,VALIDO,
Armenia,63,63,2023,Diciembre,700,700,0,113233.0,113233.0,0.0,100.0,100.0,VALIDO,
Santa Marta,47,47,2023,Diciembre,623,623,0,151546.0,151546.0,0.0,100.0,100.0,VALIDO,
Sincelejo,70,70,2023,Diciembre,584,584,0,79790.0,79790.0,0.0,100.0,100.0,VALIDO,
Valledupar,20,20,2023,Diciembre,534,534,0,149973.0,149973.0,0.0,100.0,100.0,VALIDO,
Popayán,19,19,2023,Diciembre,688,688,0,107184.0,107184.0,0.0,100.0,100.0,VALIDO,
Tunja,15,15,2023,Diciembre,592,592,0,63199.0,63199.0,0.0,100.0,100.0,VALIDO,
Riohacha,44,44,2023,Diciembre,578,578,0,50029.0,50029.0,0.0,100.0,100.0,VALIDO,
Florencia,18,18,2023,Diciembre,629,629,0,58973.0,58973.0,0.0,100.0,100.0,VALIDO,
Quibdó,27,27,2023,Diciembre,684,684,0,37794.0,37794.0,0.0,100.0,100.0,VALIDO,
Bogotá D.C.,11,11,2023,Enero,721,721,0,2946612.0,2946612.0,0.0,100.0,100.0,VALIDO,
Medellín A.M.,05,05,2023,Enero,997,997,0,1450303.0,1450303.0,0.0,100.0,100.0,VALIDO,
Cali A.M.,76,76,2023,Enero,925,925,0,790719.0,790719.0,0.0,100.0,100.0,VALIDO,
Barranquilla A.M.,08,08,2023,Enero,653,653,0,560305.0,560305.0,0.0,100.0,100.0,VALIDO,
Bucaramanga A.M.,68,68,2023,Enero,784,784,0,414190.0,414190.0,0.0,100.0,100.0,VALIDO,
Manizales A.M.,17,17,2023,Enero,939,939,0,176927.0,176927.0,0.0,100.0,100.0,VALIDO,
Pereira A.M.,66,66,2023,Enero,923,923,0,235158.0,235158.0,0.0,100.0,100.0,VALIDO,
Cúcuta A.M.,54,54,2023,Enero,746,746,0,307897.0,307897.0,0.0,100.0,100.0,VALIDO,
Ibagué,73,73,2023,Enero,570,570,0,189019.0,189019.0,0.0,100.0,100.0,VALIDO,
Pasto,52,52,2023,Enero,672,672,0,110051.0,110051.0,0.0,100.0,100.0,VALIDO,
Villavicencio,50,50,2023,Enero,668,668,0,182855.0,182855.0,0.0,100.0,100.0,VALIDO,
Montería,23,23,2023,Enero,505,505,0,134292.0,134292.0,0.0,100.0,100.0,VALIDO,
Cartagena,13,13,2023,Enero,785,785,0,294010.0,294010.0,0.0,100.0,100.0,VALIDO,
Neiva,41,41,2023,Enero,633,633,0,116566.0,116566.0,0.0,100.0,100.0,VALIDO,
Armenia,63,63,2023,Enero,729,729,0,110682.0,110682.0,0.0,100.0,100.0,VALIDO,
Santa Marta,47,47,2023,Enero,664,664,0,148105.0,148105.0,0.0,100.0,100.0,VALIDO,
Sincelejo,70,70,2023,Enero,613,613,0,78074.0,78074.0,0.0,100.0,100.0,VALIDO,
Valledupar,20,20,2023,Enero,577,577,0,145824.0,145824.0,0.0,100.0,100.0,VALIDO,
Popayán,19,19,2023,Enero,723,723,0,104868.0,104868.0,0.0,100.0,100.0,VALIDO,
